x_m,y_m,z_m,density_true_gcc,density_inverted_gcc,lithology
0.0,0.0,50.0,0.0,0.0,background
0.0,0.0,150.0,0.0,0.0,background
0.0,0.0,250.0,0.0,0.0,background
0.0,0.0,350.0,0.0,5.9039999999999984e-05,background
0.0,0.0,450.0,0.0,0.00044279999999999987,background
0.0,0.0,550.0,0.0,0.0005018399999999999,background
0.0,0.0,650.0,0.0,0.0005018399999999999,background
0.0,0.0,750.0,0.0,0.0005018399999999999,background
0.0,0.0,850.0,0.0,0.0005018399999999999,background
0.0,0.0,950.0,0.0,0.0005018399999999999,background
0.0,0.0,1050.0,0.0,0.0005018399999999999,background
0.0,0.0,1150.0,0.0,0.00044279999999999987,background
0.0,0.0,1250.0,0.0,5.9039999999999984e-05,background
0.0,0.0,1350.0,0.0,0.0,background
0.0,0.0,1450.0,0.0,0.0,background
0.0,100.0,50.0,0.0,0.0,background
0.0,100.0,150.0,0.0,0.0,background
0.0,100.0,250.0,0.0,8.855999999999999e-05,background
0.0,100.0,350.0,0.0,0.0012103199999999998,background
0.0,100.0,450.0,0.0,0.00490032,background
0.0,100.0,550.0,0.0,0.006022080000000001,background
0.0,100.0,650.0,0.0,0.00611064,background
0.0,100.0,750.0,0.0,0.00611064,background
0.0,100.0,850.0,0.0,0.00611064,background
0.0,100.0,950.0,0.0,0.00611064,background
0.0,100.0,1050.0,0.0,0.006022080000000001,background
0.0,100.0,1150.0,0.0,0.00490032,background
0.0,100.0,1250.0,0.0,0.0012103199999999998,background
0.0,100.0,1350.0,0.0,8.855999999999999e-05,background
0.0,100.0,1450.0,0.0,0.0,background
0.0,200.0,50.0,0.0,0.0,background
0.0,200.0,150.0,0.0,5.9039999999999984e-05,background
0.0,200.0,250.0,0.0,0.0012103199999999998,background
0.0,200.0,350.0,0.0,0.00882648,background
0.0,200.0,450.0,0.0,0.02742408,background
0.0,200.0,550.0,0.0,0.03504023999999999,background
0.0,200.0,650.0,0.0,0.03619151999999999,background
0.0,200.0,750.0,0.0,0.03625056,background
0.0,200.0,850.0,0.0,0.03625056,background
0.0,200.0,950.0,0.0,0.03619151999999999,background
0.0,200.0,1050.0,0.0,0.03504023999999999,background
0.0,200.0,1150.0,0.0,0.027424079999999993,background
0.0,200.0,1250.0,0.0,0.00882648,background
0.0,200.0,1350.0,0.0,0.0012103199999999998,background
0.0,200.0,1450.0,0.0,5.9039999999999984e-05,background
0.0,300.0,50.0,0.0,1.4759999999999996e-05,background
0.0,300.0,150.0,0.0,0.00042804,background
0.0,300.0,250.0,0.0,0.004826519999999999,background
0.0,300.0,350.0,0.0,0.026848439999999994,background
0.0,300.0,450.0,0.18,0.07375572,dyke_or_fault_zone
0.0,300.0,550.0,0.18,0.09577763999999997,dyke_or_fault_zone
0.0,300.0,650.0,0.18,0.10017611999999995,dyke_or_fault_zone
0.0,300.0,750.0,0.18,0.10058939999999997,dyke_or_fault_zone
0.0,300.0,850.0,0.18,0.10058939999999997,dyke_or_fault_zone
0.0,300.0,950.0,0.18,0.10017611999999995,dyke_or_fault_zone
0.0,300.0,1050.0,0.18,0.09577763999999997,dyke_or_fault_zone
0.0,300.0,1150.0,0.18,0.07375571999999998,dyke_or_fault_zone
