x,y,z,lithology_index,density_true,density_inverted,density_residual,resistivity_log10_true,resistivity_log10_inverted,chargeability_mrad,magnetic_susceptibility,gravity_proxy_mgal,magnetic_proxy_nt,display_contrast_index
0.000,0.000,-540.000,5,2.950000,2.702283,-0.247717,2.600000,2.287292,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,0.000,-540.000,5,2.950000,2.702280,-0.247720,2.600000,2.287286,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,0.000,-540.000,5,2.950000,2.702275,-0.247725,2.600000,2.287287,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,0.000,-540.000,5,2.950000,2.702278,-0.247722,2.600000,2.287293,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,0.000,-540.000,5,2.950000,2.702428,-0.247572,2.600000,2.287586,6.000000,0.00900000,4.522310,8.550002,5.000000
250.000,0.000,-540.000,5,2.950050,2.704992,-0.245058,2.600092,2.292352,5.998668,0.00900499,4.522709,8.558407,5.000233
300.000,0.000,-540.000,5,2.960785,2.723020,-0.237765,2.619773,2.323592,5.712400,0.01007850,4.608590,10.365477,5.050330
350.000,0.000,-540.000,5,3.052325,2.768499,-0.283827,2.787596,2.390074,3.271325,0.01923254,5.340912,25.774768,5.477518
400.000,0.000,-540.000,5,2.992633,2.744503,-0.248130,2.678148,2.356939,4.865075,0.01326556,4.863370,15.730351,5.198983
450.000,0.000,-540.000,5,2.947238,2.702762,-0.244476,2.593165,2.283766,6.372865,0.00907813,4.500213,8.681513,4.991835
500.000,0.000,-540.000,5,2.903802,2.677892,-0.225909,2.492204,2.227393,11.133199,0.00900006,4.152723,8.550106,4.846006
550.000,0.000,-540.000,5,2.899005,2.684191,-0.214814,2.481012,2.236663,11.666081,0.00900000,4.114352,8.550000,4.830018
600.000,0.000,-540.000,5,2.945235,2.698830,-0.246405,2.588881,2.273747,6.529473,0.00900000,4.484187,8.550000,4.984116
650.000,0.000,-540.000,5,2.949962,2.693122,-0.256840,2.599912,2.265043,6.004189,0.00900000,4.522008,8.550000,4.999874
700.000,0.000,-540.000,5,2.950000,2.696981,-0.253019,2.600000,2.274862,6.000003,0.00900000,4.522309,8.550000,5.000000
750.000,0.000,-540.000,5,2.950000,2.701652,-0.248348,2.600000,2.285861,6.000000,0.00900000,4.522310,8.550001,5.000000
800.000,0.000,-540.000,5,2.950000,2.702505,-0.247495,2.600000,2.287923,6.000001,0.00900000,4.522310,8.550001,5.000000
850.000,0.000,-540.000,5,2.950000,2.702504,-0.247496,2.600000,2.287904,6.000000,0.00900000,4.522309,8.550001,5.000000
900.000,0.000,-540.000,5,2.950000,2.702406,-0.247594,2.600000,2.287622,6.000000,0.00900000,4.522309,8.550000,5.000000
950.000,0.000,-540.000,5,2.950000,2.702382,-0.247618,2.600000,2.287552,6.000000,0.00900000,4.522309,8.550000,5.000000
1000.000,0.000,-540.000,5,2.950000,2.702372,-0.247628,2.600000,2.287522,6.000000,0.00900000,4.522309,8.550000,5.000000
1050.000,0.000,-540.000,5,2.950000,2.702361,-0.247639,2.600000,2.287491,6.000000,0.00900000,4.522309,8.550000,5.000000
1100.000,0.000,-540.000,5,2.950000,2.702317,-0.247683,2.600000,2.287370,6.000000,0.00900000,4.522309,8.550000,5.000000
1150.000,0.000,-540.000,5,2.950000,2.702296,-0.247704,2.600000,2.287309,6.000000,0.00900000,4.522309,8.550000,5.000000
1200.000,0.000,-540.000,5,2.950000,2.702295,-0.247705,2.600000,2.287307,6.000000,0.00900000,4.522309,8.550000,5.000000
0.000,50.000,-540.000,5,2.950000,2.702196,-0.247804,2.600000,2.287171,6.000000,0.00900000,4.522309,8.550000,5.000000
50.000,50.000,-540.000,5,2.950000,2.702163,-0.247837,2.600000,2.287132,6.000000,0.00900000,4.522309,8.550000,5.000000
100.000,50.000,-540.000,5,2.950000,2.702145,-0.247855,2.600000,2.287106,6.000000,0.00900000,4.522309,8.550000,5.000000
150.000,50.000,-540.000,5,2.950000,2.702136,-0.247864,2.600000,2.287095,6.000000,0.00900000,4.522309,8.550000,5.000000
200.000,50.000,-540.000,5,2.950000,2.702214,-0.247786,2.600000,2.287254,6.000000,0.00900000,4.522309,8.550000,5.000000
250.000,50.000,-540.000,5,2.950010,2.704035,-0.245975,2.600018,2.290695,5.999732,0.00900101,4.522390,8.551694,5.000047
300.000,50.000,-540.000,5,2.954322,2.720542,-0.233780,2.607924,2.320400,5.884739,0.00943223,4.556888,9.277583,5.020171
350.000,50.000,-540.000,5,3.031555,2.773066,-0.258490,2.749518,2.402252,3.825190,0.01715554,5.174753,22.278491,5.380592
400.000,50.000,-540.000,5,3.017602,2.763594,-0.254008,2.723933,2.387838,4.198056,0.01576118,5.063129,19.931319,5.315491
450.000,50.000,-540.000,5,2.950432,2.708848,-0.241583,2.599776,2.294837,6.159989,0.00924628,4.525764,8.964565,5.004723
500.000,50.000,-540.000,5,2.912588,2.671736,-0.240853,2.512704,2.214215,10.157204,0.00900039,4.223015,8.550664,4.875299
550.000,50.000,-540.000,5,2.891645,2.661849,-0.229797,2.463839,2.190701,12.483838,0.00900000,4.055473,8.550000,4.805485
600.000,50.000,-540.000,5,2.942295,2.687710,-0.254586,2.582022,2.252519,6.856092,0.00900000,4.460671,8.550001,4.974317
650.000,50.000,-540.000,5,2.949914,2.699537,-0.250377,2.599799,2.280725,6.009573,0.00900000,4.521621,8.550005,4.999713
700.000,50.000,-540.000,5,2.950000,2.701917,-0.248083,2.600000,2.286425,6.000018,0.00900001,4.522310,8.550012,5.000000
750.000,50.000,-540.000,5,2.950000,2.702492,-0.247509,2.600000,2.287871,6.000014,0.00900002,4.522311,8.550019,5.000001
800.000,50.000,-540.000,5,2.950000,2.702531,-0.247470,2.600000,2.287974,6.000016,0.00900002,4.522312,8.550022,5.000001
850.000,50.000,-540.000,5,2.950000,2.702433,-0.247567,2.600000,2.287694,6.000012,0.00900001,4.522311,8.550017,5.000000
900.000,50.000,-540.000,5,2.950000,2.702394,-0.247606,2.600000,2.287586,6.000007,0.00900001,4.522310,8.550009,5.000000
950.000,50.000,-540.000,5,2.950000,2.702381,-0.247619,2.600000,2.287549,6.000002,0.00900000,4.522310,8.550003,5.000000
1000.000,50.000,-540.000,5,2.950000,2.702380,-0.247620,2.600000,2.287549,6.000001,0.00900000,4.522310,8.550001,5.000000
1050.000,50.000,-540.000,5,2.950000,2.702380,-0.247620,2.600000,2.287549,6.000000,0.00900000,4.522309,8.550000,5.000000
1100.000,50.000,-540.000,5,2.950000,2.702359,-0.247641,2.600000,2.287489,6.000000,0.00900000,4.522309,8.550000,5.000000
1150.000,50.000,-540.000,5,2.950000,2.702306,-0.247694,2.600000,2.287338,6.000000,0.00900000,4.522309,8.550000,5.000000
