x,y,z,density_true,density_inverted,density_residual,resistivity_log10_true,resistivity_log10_inverted,chargeability_mrad,magnetic_susceptibility,gravity_proxy_mgal,magnetic_proxy_nt
0.000000,0.000000,-500.000000,0.000002,0.000002,-0.000000,2.149999,2.149999,8.000035,0.002000,0.000021,0.240017
0.000000,0.000000,-450.000000,0.000010,0.000009,-0.000001,2.149993,2.149993,8.000170,0.002001,0.000109,0.240080
0.000000,0.000000,-400.000000,0.000037,0.000033,-0.000003,2.149976,2.149976,8.000601,0.002002,0.000410,0.240283
0.000000,0.000000,-350.000000,0.000095,0.000087,-0.000008,2.149938,2.149938,8.001565,0.002006,0.001133,0.240738
0.000000,0.000000,-300.000000,0.000182,0.000167,-0.000015,2.149882,2.149882,8.002996,0.002012,0.002302,0.241416
0.000000,0.000000,-250.000000,0.000258,0.000236,-0.000021,2.149833,2.149833,8.004232,0.002017,0.003457,0.242026
0.000000,0.000000,-200.000000,0.000274,0.000251,-0.000024,2.149821,2.149821,8.004460,0.002019,0.003901,0.242236
0.000000,0.000000,-150.000000,0.000223,0.000202,-0.000021,2.149852,2.149852,8.003552,0.002016,0.003365,0.241961
0.000000,0.000000,-100.000000,0.000136,0.000123,-0.000014,2.149907,2.149907,8.002115,0.002011,0.002180,0.241304
0.000000,0.000000,-50.000000,0.000059,0.000053,-0.000006,2.149960,2.149960,8.000901,0.002005,0.000999,0.240589
0.000000,0.000000,0.000000,0.000017,0.000015,-0.000002,2.149988,2.149988,8.000265,0.002001,0.000310,0.240169
0.000000,50.000000,-500.000000,0.000006,0.000005,-0.000000,2.149996,2.159930,8.000096,0.002000,0.000058,0.240045
0.000000,50.000000,-450.000000,0.000028,0.000026,-0.000002,2.149982,2.159915,8.000465,0.002002,0.000299,0.240219
0.000000,50.000000,-400.000000,0.000100,0.000092,-0.000008,2.149935,2.159869,8.001647,0.002006,0.001124,0.240776
0.000000,50.000000,-350.000000,0.000260,0.000239,-0.000021,2.149832,2.159765,8.004288,0.002017,0.003105,0.242023
0.000000,50.000000,-300.000000,0.000499,0.000458,-0.000041,2.149677,2.159610,8.008212,0.002032,0.006311,0.243887
